seqLen,net_charge,isoElectricPower,alpha_helix,beta_sheet,allergenity_allergen,allergenity_nonallergen
0.2772406944344794,0.6170401740384224,-0.588562123538334,0.10909231820874857,"0, 333333333",-0.9998969868655521,0.9998969868655521
1.5017437289032218,1.045503292781205,-0.7424090924526004,-0.07367416342985678,"0, 276264591",-0.9998969868655521,0.9998969868655521
1.1311374935220893,1.0941922835474303,-0.4470122762015585,2.695203026131651,"0, 200704225",-0.9998969868655521,0.9998969868655521
1.5593379411583979,1.1720946687733906,-0.6784972927976199,2.0740893829565836,"0, 283185841",-0.9998969868655521,0.9998969868655521
2.330599566140755,1.6492467782823987,0.08927519219168775,0.16246844445577516,"0, 29375",-0.9998969868655521,0.9998969868655521
-0.02575494395144668,0.39307081651378606,1.259533177297854,0.16246844445577516,"0, 29375",-0.9998969868655521,0.9998969868655521
-0.39636117933257936,-0.6683491821899253,-0.752778557845319,0.16246844445577516,"0, 3",-0.9998969868655521,0.9998969868655521
0.35987586853973197,0.1983148534488849,-0.06370765446033673,-0.7727740357913186,"0, 27173913",-0.9998969868655521,0.9998969868655521
0.35987586853973197,0.16910145898914972,0.03676315696506112,0.5052862126349659,"0, 264604811",-0.9998969868655521,0.9998969868655521
0.35987586853973197,0.16910145898914972,0.015093633558862328,-0.7251305050446148,"0, 294701987",-0.9998969868655521,0.9998969868655521
0.3273226181346324,0.2567416423683552,-0.5476160300981852,0.15789334645628494,"0, 3",-0.9998969868655521,0.9998969868655521
-0.01824265539642372,-0.045130100382241564,1.0713140455049146,1.4381931117776694,"0, 251655629",-0.9998969868655521,0.9998969868655521
0.5576994671553366,0.7046803574176279,-0.9594366812308348,0.8574585646594107,"0, 329896907",-0.9998969868655521,0.9998969868655521
0.3774045418347855,0.36385742205405086,-0.7670365722486684,-0.34725314355564435,"0, 305343511",-0.9998969868655521,0.9998969868655521
1.6119239610435587,2.554862006534189,1.0365954756773026,1.2459343999504555,"0, 25974026",-0.9998969868655521,0.9998969868655521
2.578505088456513,3.4604772347859796,-0.29020735089742233,1.5230293250121207,"0, 231788079",-0.9998969868655521,0.9998969868655521
-0.29619733193227327,0.2859550368280904,-1.476912876777607,0.4626314491031633,"0, 285899094",-0.9998969868655521,0.9998969868655521
-0.29118913956225795,0.3346440275943157,-1.476912876777607,-0.1888209213281197,"0, 286821705",-0.9998969868655521,0.9998969868655521
-0.24861950441712782,0.36385742205405086,-1.476912876777607,-0.24946483855559043,"0, 312977099",-0.9998969868655521,0.9998969868655521
0.9408261834615076,0.4028086146670311,-0.21984787091670857,-1.2047814463049258,"0, 384615385",-0.9998969868655521,0.9998969868655521
1.1386497820771122,1.3571128336850469,-0.8506570030687204,-1.154977566127238,"0, 281588448",-0.9998969868655521,0.9998969868655521
1.3815471120228546,0.8410095315630587,-0.3337790460111928,0.04390011487537881,"0, 305343511",-0.9998969868655521,0.9998969868655521
